"","Sample","In.reads","In.bases","Trimmed.reads","TR.percent","Trimmed.bases","TB.percent","Kept.reads","KR.percent","Kept.bases","KB.percent"
"38","Sample_D01_MM001.bbduk.stats.log:Input:",10285584,514279200,2644817,"(25.71%)",58496418,"(11.37%)",9243271,"(89.87%)",455782782,"(88.63%)"
"39","Sample_D02_MM001.bbduk.stats.log:Input:",8449770,422488500,2252442,"(26.66%)",50959247,"(12.06%)",7536967,"(89.20%)",371529253,"(87.94%)"
"40","Sample_D03_MM001.bbduk.stats.log:Input:",6408996,320449800,1805939,"(28.18%)",42691318,"(13.32%)",5637917,"(87.97%)",277758482,"(86.68%)"
"41","Sample_D04_MM001.bbduk.stats.log:Input:",7235294,361764700,2028654,"(28.04%)",47985016,"(13.26%)",6368023,"(88.01%)",313779684,"(86.74%)"
"42","Sample_D05_MM001.bbduk.stats.log:Input:",10510019,525500950,2712627,"(25.81%)",58843001,"(11.20%)",9465400,"(90.06%)",466657949,"(88.80%)"
"43","Sample_D06_MM001.bbduk.stats.log:Input:",7014419,350720950,1898303,"(27.06%)",42387434,"(12.09%)",6257377,"(89.21%)",308333516,"(87.91%)"
"44","Sample_D07_MM001.bbduk.stats.log:Input:",8224002,411200100,2264324,"(27.53%)",51667639,"(12.57%)",7297171,"(88.73%)",359532461,"(87.43%)"
"45","Sample_D08_MM001.bbduk.stats.log:Input:",6615989,330799450,1818878,"(27.49%)",42816400,"(12.94%)",5842729,"(88.31%)",287983050,"(87.06%)"
"46","Sample_D09_MM001.bbduk.stats.log:Input:",8677031,433851550,2198819,"(25.34%)",47440151,"(10.93%)",7835937,"(90.31%)",386411399,"(89.07%)"
"47","Sample_D10_MM001.bbduk.stats.log:Input:",7139152,356957600,1901753,"(26.64%)",42528931,"(11.91%)",6379164,"(89.35%)",314428669,"(88.09%)"
"48","Sample_D11_MM001.bbduk.stats.log:Input:",7289918,364495900,2062648,"(28.29%)",48486465,"(13.30%)",6414925,"(88.00%)",316009435,"(86.70%)"
"49","Sample_D12_MM001.bbduk.stats.log:Input:",4953873,247693650,1331994,"(26.89%)",29064359,"(11.73%)",4437197,"(89.57%)",218629291,"(88.27%)"
"50","Sample_E01_MM001.bbduk.stats.log:Input:",7707694,385384700,2153479,"(27.94%)",50921266,"(13.21%)",6787964,"(88.07%)",334463434,"(86.79%)"
"51","Sample_E02_MM001.bbduk.stats.log:Input:",10735108,536755400,2679255,"(24.96%)",56914520,"(10.60%)",9729318,"(90.63%)",479840880,"(89.40%)"
"52","Sample_E03_MM001.bbduk.stats.log:Input:",9276434,463821700,2527927,"(27.25%)",57247908,"(12.34%)",8250845,"(88.94%)",406573792,"(87.66%)"
"53","Sample_E04_MM001.bbduk.stats.log:Input:",6784013,339200650,1819856,"(26.83%)",40973319,"(12.08%)",6050761,"(89.19%)",298227331,"(87.92%)"
"54","Sample_E05_MM001.bbduk.stats.log:Input:",7628068,381403400,2074116,"(27.19%)",46795561,"(12.27%)",6790575,"(89.02%)",334607839,"(87.73%)"
"55","Sample_E06_MM001.bbduk.stats.log:Input:",12522654,626132700,3313983,"(26.46%)",74487020,"(11.90%)",11190229,"(89.36%)",551645680,"(88.10%)"
"56","Sample_E07_MM001.bbduk.stats.log:Input:",8604762,430238100,2292364,"(26.64%)",50466776,"(11.73%)",7705911,"(89.55%)",379771324,"(88.27%)"
"57","Sample_E08_MM001.bbduk.stats.log:Input:",6813801,340690050,1918369,"(28.15%)",46541361,"(13.66%)",5968304,"(87.59%)",294148689,"(86.34%)"
"58","Sample_E09_MM001.bbduk.stats.log:Input:",6929252,346462600,1949466,"(28.13%)",45763903,"(13.21%)",6103273,"(88.08%)",300698697,"(86.79%)"
"59","Sample_E10_MM001.bbduk.stats.log:Input:",9514284,475714200,2382723,"(25.04%)",49814598,"(10.47%)",8636996,"(90.78%)",425899602,"(89.53%)"
